Lambda/m,Lambda/nm,E/eV,Solar per nm/W*m^-2*nm^-1,Solar per E/W*m^-2*eV^-1
3.11E-07,310.5,3.994,6.5540E-02,5.0978E+00
3.10E-07,310.0,4.000,5.0939E-02,3.9494E+00
3.10E-07,309.5,4.006,4.3306E-02,3.3467E+00
3.09E-07,309.0,4.013,4.0534E-02,3.1224E+00
3.09E-07,308.5,4.019,4.1430E-02,3.1811E+00
3.08E-07,308.0,4.026,3.7837E-02,2.8958E+00
3.08E-07,307.5,4.033,3.5635E-02,2.7184E+00
3.07E-07,307.0,4.039,2.7849E-02,2.1176E+00
3.07E-07,306.5,4.046,2.1108E-02,1.5998E+00
3.06E-07,306.0,4.052,1.8577E-02,1.4034E+00
3.06E-07,305.5,4.059,1.8719E-02,1.4095E+00
3.05E-07,305.0,4.066,1.6463E-02,1.2356E+00
3.05E-07,304.5,4.072,1.1953E-02,8.9414E-01
3.04E-07,304.0,4.079,9.4701E-03,7.0608E-01
3.04E-07,303.5,4.086,8.9795E-03,6.6730E-01
3.03E-07,303.0,4.092,7.0945E-03,5.2549E-01
3.03E-07,302.5,4.099,4.2840E-03,3.1627E-01
3.02E-07,302.0,4.106,2.9209E-03,2.1492E-01
3.02E-07,301.5,4.113,2.6914E-03,1.9738E-01
3.01E-07,301.0,4.120,1.9300E-03,1.4107E-01
3.01E-07,300.5,4.126,1.2450E-03,9.0701E-02
3.00E-07,300.0,4.133,1.0205E-03,7.4098E-02
3.00E-07,299.5,4.140,8.6068E-04,6.2286E-02
2.99E-07,299.0,4.147,4.9211E-04,3.5494E-02
2.99E-07,298.5,4.154,3.5789E-04,2.5727E-02
2.98E-07,298.0,4.161,2.8988E-04,2.0768E-02
2.98E-07,297.5,4.168,1.8608E-04,1.3287E-02
2.97E-07,297.0,4.175,9.6800E-05,6.8888E-03
2.97E-07,296.5,4.182,7.1345E-05,5.0602E-03
2.96E-07,296.0,4.189,4.7904E-05,3.3862E-03
2.96E-07,295.5,4.196,2.7826E-05,1.9603E-03
